sessionKey,participant,condition,occurredAtUnixMs,status,anchorSource,anchorErrorPx,viewportDeltaPx,commitBoundary,waitDurationMs,interventionAppliedAtUnixMs,measuredAtUnixMs,reason,appliedAtUnixMs,affectedProperties,restoreMode,fontSizePx
P4/with,P4,with,1782220311909,degraded,sentence-anchor,165.0,65.65625,immediate,4904.0,1782220311878,1782220311909,,1782220311878,font-size,semantic-restart,20
P4/with,P4,with,1782220323760,degraded,sentence-anchor,389.0,34.0,immediate,,1782220323736,1782220323760,,1782220323736,line-width,semantic-restart,20
P4/with,P4,with,1782220404358,preserved,sentence-anchor,0.046875,50.953125,immediate,,1782220404329,1782220404358,,1782220404329,font-size,semantic-restart,22
P4/with,P4,with,1782220418057,degraded,sentence-anchor,472.25,0.0,immediate,,1782220418036,1782220418057,,1782220418036,line-width,semantic-restart,22
P1/with,P1,with,1782220905762,degraded,sentence-anchor,105.0,48.625,immediate,,1782220905720,1782220905762,,1782220905720,font-size,semantic-restart,20
P1/with,P1,with,1782220931869,degraded,sentence-anchor,404.0,13.0,immediate,,1782220931849,1782220931869,,1782220931849,line-width,semantic-restart,20
P1/with,P1,with,1782220952108,degraded,sentence-anchor,655.0,66.0,immediate,,1782220952086,1782220952108,,1782220952086,line-height,semantic-restart,20
P1/with,P1,with,1782220968982,preserved,sentence-anchor,0.0,0.0,immediate,,1782220968958,1782220968982,,1782220968958,,offset-preserve,20
P1/with,P1,with,1782220985826,degraded,scroll-only,,39.0,immediate,,1782220985806,1782220985826,Semantic anchor elements were not found; restored scroll position only.,1782220985806,font-size,semantic-restart,18
P3/with,P3,with,1782301885454,degraded,sentence-anchor,105.0,48.625,immediate,3514.0,1782301885424,1782301885454,,1782301885424,font-size,semantic-restart,20
P3/with,P3,with,1782301901065,degraded,sentence-anchor,261.0,0.0,immediate,,1782301901047,1782301901065,,1782301901047,line-width,semantic-restart,20
P3/with,P3,with,1782301918854,degraded,sentence-anchor,472.0,21.0,immediate,,1782301918833,1782301918854,,1782301918833,line-width,semantic-restart,20
P2/with,P2,with,1782302617117,degraded,sentence-anchor,164.96875,30.59375,immediate,,1782302617100,1782302617117,,1782302617100,line-width,semantic-restart,18
P2/with,P2,with,1782302629156,degraded,sentence-anchor,131.0,62.65625,immediate,,1782302629121,1782302629156,,1782302629121,font-size,semantic-restart,20
P2/with,P2,with,1782302671798,preserved,sentence-anchor,0.0,34.0,immediate,,1782302671781,1782302671798,,1782302671781,line-width,semantic-restart,20
P2/with,P2,with,1782302696521,degraded,sentence-anchor,572.71875,53.28125,immediate,,1782302696503,1782302696521,,1782302696503,font-size,semantic-restart,18
P2/with,P2,with,1782302732462,degraded,sentence-anchor,293.234375,19.921875,immediate,,1782302732443,1782302732462,,1782302732443,line-height,semantic-restart,18
P2/with,P2,with,1782302742638,degraded,sentence-anchor,712.0,81.859375,immediate,,1782302742619,1782302742638,,1782302742619,font-size,semantic-restart,20
P2/with,P2,with,1782302785029,degraded,sentence-anchor,496.6875,38.3125,immediate,,1782302785012,1782302785029,,1782302785012,font-size,semantic-restart,18
