sessionKey,participant,condition,appliedAtUnixMs,moduleId,rrtMs,postSaccades,postRegressions,postRegressionRate,preRegressionRate,regressionRateDelta
P1/with,P1,with,1782220905720,font-size,1559.0,8,2,0.25,0.25,0.0
P1/with,P1,with,1782220931849,line-width,890.0,6,1,0.16666666666666666,0.25,-0.08333333333333334
P1/with,P1,with,1782220952086,line-height,361.0,10,2,0.2,0.3,-0.09999999999999998
P1/with,P1,with,1782220968958,palette,580.0,20,2,0.1,0.16666666666666666,-0.06666666666666665
P1/with,P1,with,1782220985806,font-size,102.0,12,4,0.3333333333333333,0.32142857142857145,0.011904761904761862
P1/without,P1,without,1782221653726,font-size,2190.0,11,7,0.6363636363636364,0.14285714285714285,0.4935064935064935
P1/without,P1,without,1782221708131,line-width,439.0,12,6,0.5,0.35714285714285715,0.14285714285714285
P1/without,P1,without,1782221808364,font-size,1115.0,6,2,0.3333333333333333,0.45454545454545453,-0.12121212121212122
P1/without,P1,without,1782221814810,line-width,613.0,6,3,0.5,0.5714285714285714,-0.0714285714285714
P1/without,P1,without,1782221817236,line-height,263.0,8,1,0.125,0.5,-0.375
P1/without,P1,without,1782221857325,palette,107.0,27,7,0.25925925925925924,0.3333333333333333,-0.07407407407407407
P1/without,P1,without,1782221863740,font-size,147.0,20,4,0.2,0.25,-0.04999999999999999
P1/without,P1,without,1782221930032,line-height,650.0,4,2,0.5,0.5,0.0
P1/without,P1,without,1782221939021,palette,2531.0,6,4,0.6666666666666666,0.6666666666666666,0.0
P2/with,P2,with,1782302617100,line-width,435.0,6,2,0.3333333333333333,0.5,-0.16666666666666669
P2/with,P2,with,1782302629121,font-size,94.0,4,1,0.25,0.5,-0.25
P2/with,P2,with,1782302671781,line-width,4.0,16,4,0.25,0.25,0.0
P2/with,P2,with,1782302696503,font-size,763.0,12,2,0.16666666666666666,0.3333333333333333,-0.16666666666666666
P2/with,P2,with,1782302732443,line-height,753.0,4,0,0.0,0.16666666666666666,-0.16666666666666666
P2/with,P2,with,1782302742619,font-size,2791.0,5,3,0.6,0.23076923076923078,0.3692307692307692
P2/with,P2,with,1782302785012,font-size,735.0,4,0,0.0,0.3333333333333333,-0.3333333333333333
P2/without,P2,without,1782302398084,font-size,1556.0,4,1,0.25,0.0,0.25
P2/without,P2,without,1782302408685,line-width,2358.0,4,2,0.5,0.5,0.0
P2/without,P2,without,1782302421661,font-size,796.0,9,3,0.3333333333333333,0.375,-0.041666666666666685
P2/without,P2,without,1782302447671,line-height,801.0,9,2,0.2222222222222222,0.4,-0.1777777777777778
P3/with,P3,with,1782301885424,font-size,770.0,10,2,0.2,0.35714285714285715,-0.15714285714285714
P3/with,P3,with,1782301901047,line-width,347.0,6,1,0.16666666666666666,0.25,-0.08333333333333334
P3/with,P3,with,1782301918833,line-width,482.0,12,4,0.3333333333333333,0.125,0.20833333333333331
P3/without,P3,without,1782301312731,font-size,28.0,14,2,0.14285714285714285,0.3333333333333333,-0.19047619047619047
P3/without,P3,without,1782301366282,line-width,,0,0,,0.375,
P3/without,P3,without,1782301366435,line-width,1040.0,7,1,0.14285714285714285,,
P3/without,P3,without,1782301399049,line-height,3301.0,4,2,0.5,0.25,0.25
P3/without,P3,without,1782301415625,font-size,1803.0,10,3,0.3,0.1111111111111111,0.18888888888888888
P3/without,P3,without,1782301444082,line-height,437.0,6,0,0.0,0.5714285714285714,-0.5714285714285714
P3/without,P3,without,1782301461748,font-size,92.0,8,1,0.125,0.14285714285714285,-0.01785714285714285
P3/without,P3,without,1782301501961,font-size,228.0,27,15,0.5555555555555556,0.2,0.35555555555555557
P3/without,P3,without,1782301529984,font-family,263.0,7,2,0.2857142857142857,0.25,0.0357142857142857
P3/without,P3,without,1782301536924,letter-spacing,850.0,8,3,0.375,0.2222222222222222,0.1527777777777778
P3/without,P3,without,1782301553906,font-size,1.0,14,0,0.0,0.4,-0.4
P4/with,P4,with,1782220311878,font-size,142.0,26,8,0.3076923076923077,0.03225806451612903,0.2754342431761787
P4/with,P4,with,1782220323736,line-width,376.0,12,2,0.16666666666666666,0.35,-0.18333333333333332
P4/with,P4,with,1782220404329,font-size,1524.0,10,3,0.3,0.5555555555555556,-0.2555555555555556
P4/with,P4,with,1782220418036,line-width,19.0,10,2,0.2,0.29411764705882354,-0.09411764705882353
P4/without,P4,without,1782219994038,font-size,72.0,15,4,0.26666666666666666,0.0,0.26666666666666666
P4/without,P4,without,1782220016836,line-width,1390.0,15,8,0.5333333333333333,0.08333333333333333,0.45
