intervention,affected,pageIndex,anchorTokenId,anchorSentenceId,status,anchorSource,uncompensatedDisplacementPx,residualErrorPx,uncompensatedDisplacementLines,committedSentenceVisible,committedSentenceTopPx,capturedWordVisible,capturedWordResidualPx,reason
Font size +2px (18->20),font-size,0,eval-context-displacement:3:sentence:4:word:1,eval-context-displacement:3:sentence:4,preserved,sentence-anchor,22.66,0.34,0.699,true,254,true,0.34,
Font size +2px (18->20),font-size,1,eval-context-displacement:7:sentence:4:word:7,eval-context-displacement:7:sentence:4,preserved,sentence-anchor,9.73,9.73,0.3,true,241,true,26.27,
Font size +2px (18->20),font-size,2,eval-context-displacement:12:sentence:2:word:6,eval-context-displacement:12:sentence:2,preserved,sentence-anchor,13.34,13.34,0.412,true,241,true,22.66,
Font size +2px (18->20),font-size,3,eval-context-displacement:17:sentence:2:word:8,eval-context-displacement:17:sentence:2,preserved,sentence-anchor,58.66,0.34,1.81,true,246,true,35.66,
Font size +2px (18->20),font-size,4,eval-context-displacement:22:sentence:1:word:11,eval-context-displacement:22:sentence:1,preserved,sentence-anchor,13.34,13.34,0.412,true,241,true,22.66,
Font size +2px (18->20),font-size,5,eval-context-displacement:26:sentence:2:word:18,eval-context-displacement:26:sentence:2,preserved,sentence-anchor,9.73,9.73,0.3,true,241,true,62.27,
Font size +6px (18->24),font-size,0,eval-context-displacement:3:sentence:4:word:1,eval-context-displacement:3:sentence:4,preserved,sentence-anchor,109.97,0.03,3.394,true,254.31,true,0.03,
Font size +6px (18->24),font-size,1,eval-context-displacement:7:sentence:4:word:7,eval-context-displacement:7:sentence:4,preserved,sentence-anchor,120.77,0.23,3.727,true,250.5,true,42.95,
Font size +6px (18->24),font-size,2,eval-context-displacement:12:sentence:2:word:6,eval-context-displacement:12:sentence:2,preserved,sentence-anchor,66.78,0.22,2.061,true,254.13,true,42.97,
Font size +6px (18->24),font-size,3,eval-context-displacement:17:sentence:2:word:8,eval-context-displacement:17:sentence:2,preserved,sentence-anchor,153.16,0.16,4.727,true,246.5,true,43.34,
Font size +6px (18->24),font-size,4,eval-context-displacement:22:sentence:1:word:11,eval-context-displacement:22:sentence:1,preserved,sentence-anchor,66.78,0.22,2.061,true,254.13,true,42.97,
Font size +6px (18->24),font-size,5,eval-context-displacement:26:sentence:2:word:18,eval-context-displacement:26:sentence:2,preserved,sentence-anchor,34.39,2.39,1.061,true,253.13,true,131.95,
Font size -2px (18->16),font-size,0,eval-context-displacement:3:sentence:4:word:1,eval-context-displacement:3:sentence:4,preserved,sentence-anchor,50.36,50.36,1.554,true,203.98,true,50.36,
Font size -2px (18->16),font-size,1,eval-context-displacement:7:sentence:4:word:7,eval-context-displacement:7:sentence:4,preserved,sentence-anchor,53.95,53.95,1.665,true,196.78,true,53.95,
Font size -2px (18->16),font-size,2,eval-context-displacement:12:sentence:2:word:6,eval-context-displacement:12:sentence:2,degraded,sentence-anchor,79.16,79.16,2.443,true,175.19,true,79.16,
Font size -2px (18->16),font-size,3,eval-context-displacement:17:sentence:2:word:8,eval-context-displacement:17:sentence:2,degraded,sentence-anchor,79.16,79.16,2.443,true,167.19,true,79.16,
Font size -2px (18->16),font-size,4,eval-context-displacement:22:sentence:1:word:11,eval-context-displacement:22:sentence:1,degraded,sentence-anchor,79.16,79.16,2.443,true,175.19,true,79.16,
Font size -2px (18->16),font-size,5,eval-context-displacement:26:sentence:2:word:18,eval-context-displacement:26:sentence:2,degraded,sentence-anchor,82.75,82.75,2.554,true,167.98,true,53.95,
Line height +0.3 (1.8->2.1),line-height,0,eval-context-displacement:3:sentence:4:word:1,eval-context-displacement:3:sentence:4,preserved,sentence-anchor,35.44,0.44,1.094,true,254.78,true,0.44,
Line height +0.3 (1.8->2.1),line-height,1,eval-context-displacement:7:sentence:4:word:7,eval-context-displacement:7:sentence:4,preserved,sentence-anchor,3.05,0.05,0.094,true,250.78,true,37.84,
Line height +0.3 (1.8->2.1),line-height,2,eval-context-displacement:12:sentence:2:word:6,eval-context-displacement:12:sentence:2,preserved,sentence-anchor,2.36,2.36,0.073,true,251.98,true,35.44,
Line height +0.3 (1.8->2.1),line-height,3,eval-context-displacement:17:sentence:2:word:8,eval-context-displacement:17:sentence:2,preserved,sentence-anchor,2.36,2.36,0.073,true,243.98,true,35.44,
Line height +0.3 (1.8->2.1),line-height,4,eval-context-displacement:22:sentence:1:word:11,eval-context-displacement:22:sentence:1,preserved,sentence-anchor,2.36,2.36,0.073,true,251.98,true,35.44,
Line height +0.3 (1.8->2.1),line-height,5,eval-context-displacement:26:sentence:2:word:18,eval-context-displacement:26:sentence:2,preserved,sentence-anchor,34.75,34.75,1.073,true,215.98,true,40.84,
Line height -0.3 (1.8->1.5),line-height,0,eval-context-displacement:3:sentence:4:word:1,eval-context-displacement:3:sentence:4,preserved,sentence-anchor,34.34,34.34,1.06,true,220,true,34.34,
Line height -0.3 (1.8->1.5),line-height,1,eval-context-displacement:7:sentence:4:word:7,eval-context-displacement:7:sentence:4,preserved,sentence-anchor,66.73,66.73,2.06,true,184,true,39.73,
Line height -0.3 (1.8->1.5),line-height,2,eval-context-displacement:12:sentence:2:word:6,eval-context-displacement:12:sentence:2,preserved,sentence-anchor,61.34,61.34,1.893,true,193,true,34.34,
Line height -0.3 (1.8->1.5),line-height,3,eval-context-displacement:17:sentence:2:word:8,eval-context-displacement:17:sentence:2,preserved,sentence-anchor,61.34,61.34,1.893,true,185,true,34.34,
Line height -0.3 (1.8->1.5),line-height,4,eval-context-displacement:22:sentence:1:word:11,eval-context-displacement:22:sentence:1,preserved,sentence-anchor,61.34,61.34,1.893,true,193,true,34.34,
Line height -0.3 (1.8->1.5),line-height,5,eval-context-displacement:26:sentence:2:word:18,eval-context-displacement:26:sentence:2,degraded,sentence-anchor,93.73,93.73,2.893,true,157,true,39.73,
Line width -120px (680->560),line-width,0,eval-context-displacement:3:sentence:4:word:1,eval-context-displacement:3:sentence:4,preserved,sentence-anchor,0,0,0,true,254.34,true,0,
Line width -120px (680->560),line-width,1,eval-context-displacement:7:sentence:4:word:7,eval-context-displacement:7:sentence:4,preserved,sentence-anchor,0,0,0,true,250.73,true,0,
Line width -120px (680->560),line-width,2,eval-context-displacement:12:sentence:2:word:6,eval-context-displacement:12:sentence:2,preserved,sentence-anchor,0,0,0,true,247.34,true,32.39,
Line width -120px (680->560),line-width,3,eval-context-displacement:17:sentence:2:word:18,eval-context-displacement:17:sentence:2,preserved,sentence-anchor,32.39,0.39,1,true,266.13,true,65.17,
Line width -120px (680->560),line-width,4,eval-context-displacement:22:sentence:1:word:11,eval-context-displacement:22:sentence:1,preserved,sentence-anchor,32.39,32.39,1,true,221.95,true,0,
Line width -120px (680->560),line-width,5,eval-context-displacement:26:sentence:2:word:18,eval-context-displacement:26:sentence:2,preserved,sentence-anchor,32.39,32.39,1,true,218.34,true,32.39,
Line width +80px (680->760),line-width,0,eval-context-displacement:3:sentence:4:word:1,eval-context-displacement:3:sentence:4,preserved,sentence-anchor,32.39,32.39,1,true,221.95,true,32.39,
Line width +80px (680->760),line-width,1,eval-context-displacement:7:sentence:4:word:7,eval-context-displacement:7:sentence:4,preserved,sentence-anchor,32.39,32.39,1,true,218.34,true,32.39,
Line width +80px (680->760),line-width,2,eval-context-displacement:12:sentence:2:word:6,eval-context-displacement:12:sentence:2,preserved,sentence-anchor,64.78,64.78,1.999,true,189.56,true,64.78,
Line width +80px (680->760),line-width,3,eval-context-displacement:17:sentence:2:word:8,eval-context-displacement:17:sentence:2,preserved,sentence-anchor,64.78,64.78,1.999,true,181.56,true,64.78,
Line width +80px (680->760),line-width,4,eval-context-displacement:22:sentence:1:word:11,eval-context-displacement:22:sentence:1,preserved,sentence-anchor,64.78,64.78,1.999,true,189.56,true,64.78,
Line width +80px (680->760),line-width,5,eval-context-displacement:26:sentence:2:word:18,eval-context-displacement:26:sentence:2,preserved,sentence-anchor,64.78,64.78,1.999,true,553.47,true,335.13,
Letter spacing +0.06em,letter-spacing,0,eval-context-displacement:3:sentence:4:word:1,eval-context-displacement:3:sentence:4,preserved,sentence-anchor,0,0,0,true,254.34,true,0,
Letter spacing +0.06em,letter-spacing,1,eval-context-displacement:7:sentence:4:word:7,eval-context-displacement:7:sentence:4,preserved,sentence-anchor,32.39,32.39,1,true,218.34,true,0,
Letter spacing +0.06em,letter-spacing,2,eval-context-displacement:12:sentence:2:word:6,eval-context-displacement:12:sentence:2,preserved,sentence-anchor,32.39,32.39,1,true,221.95,true,0,
Letter spacing +0.06em,letter-spacing,3,eval-context-displacement:17:sentence:2:word:8,eval-context-displacement:17:sentence:2,preserved,sentence-anchor,32.39,0.39,1,true,246.73,true,32.78,
Letter spacing +0.06em,letter-spacing,4,eval-context-displacement:22:sentence:1:word:11,eval-context-displacement:22:sentence:1,preserved,sentence-anchor,32.39,32.39,1,true,221.95,true,0,
Letter spacing +0.06em,letter-spacing,5,eval-context-displacement:26:sentence:2:word:18,eval-context-displacement:26:sentence:2,preserved,sentence-anchor,32.39,32.39,1,true,218.34,true,32.39,
Letter spacing +0.12em,letter-spacing,0,eval-context-displacement:3:sentence:4:word:1,eval-context-displacement:3:sentence:4,preserved,sentence-anchor,32.39,0.39,1,true,254.73,true,0.39,
Letter spacing +0.12em,letter-spacing,1,eval-context-displacement:7:sentence:4:word:7,eval-context-displacement:7:sentence:4,preserved,sentence-anchor,32.39,0.39,1,true,251.13,true,0.39,
Letter spacing +0.12em,letter-spacing,2,eval-context-displacement:12:sentence:2:word:6,eval-context-displacement:12:sentence:2,preserved,sentence-anchor,0,0,0,true,254.34,true,32.39,
Letter spacing +0.12em,letter-spacing,3,eval-context-displacement:17:sentence:2:word:8,eval-context-displacement:17:sentence:2,preserved,sentence-anchor,64.78,0.22,1.999,true,246.13,true,32.17,
Letter spacing +0.12em,letter-spacing,4,eval-context-displacement:22:sentence:1:word:11,eval-context-displacement:22:sentence:1,preserved,sentence-anchor,32.39,32.39,1,true,221.95,true,0,
Letter spacing +0.12em,letter-spacing,5,eval-context-displacement:26:sentence:2:word:18,eval-context-displacement:26:sentence:2,preserved,sentence-anchor,32.39,32.39,1,true,218.34,true,32.39,
Font family -> Inter,font-family,0,eval-context-displacement:3:sentence:4:word:1,eval-context-displacement:3:sentence:4,preserved,sentence-anchor,1,0,0.031,true,254.34,true,0,
Font family -> Inter,font-family,1,eval-context-displacement:7:sentence:4:word:7,eval-context-displacement:7:sentence:4,preserved,sentence-anchor,31.39,31.39,0.969,true,219.34,true,1,
Font family -> Inter,font-family,2,eval-context-displacement:12:sentence:2:word:6,eval-context-displacement:12:sentence:2,preserved,sentence-anchor,31.39,31.39,0.969,true,222.95,true,1,
Font family -> Inter,font-family,3,eval-context-displacement:17:sentence:2:word:8,eval-context-displacement:17:sentence:2,preserved,sentence-anchor,1,0,0.031,true,246.34,true,32.39,
Font family -> Inter,font-family,4,eval-context-displacement:22:sentence:1:word:11,eval-context-displacement:22:sentence:1,preserved,sentence-anchor,31.39,31.39,0.969,true,222.95,true,1,
Font family -> Inter,font-family,5,eval-context-displacement:26:sentence:2:word:18,eval-context-displacement:26:sentence:2,preserved,sentence-anchor,63.78,63.78,1.969,true,186.95,true,1,
Font family -> Space Grotesk,font-family,0,eval-context-displacement:3:sentence:4:word:1,eval-context-displacement:3:sentence:4,preserved,sentence-anchor,0,0,0,true,254.34,true,0,
Font family -> Space Grotesk,font-family,1,eval-context-displacement:7:sentence:4:word:7,eval-context-displacement:7:sentence:4,preserved,sentence-anchor,32.39,32.39,1,true,218.34,true,0,
Font family -> Space Grotesk,font-family,2,eval-context-displacement:12:sentence:2:word:6,eval-context-displacement:12:sentence:2,preserved,sentence-anchor,32.39,32.39,1,true,221.95,true,0,
Font family -> Space Grotesk,font-family,3,eval-context-displacement:17:sentence:2:word:8,eval-context-displacement:17:sentence:2,preserved,sentence-anchor,32.39,0.39,1,true,246.73,true,32.78,
Font family -> Space Grotesk,font-family,4,eval-context-displacement:22:sentence:1:word:11,eval-context-displacement:22:sentence:1,preserved,sentence-anchor,32.39,32.39,1,true,221.95,true,0,
Font family -> Space Grotesk,font-family,5,eval-context-displacement:26:sentence:2:word:18,eval-context-displacement:26:sentence:2,preserved,sentence-anchor,64.78,64.78,1.999,true,185.95,true,0,
