participant,condition,intervention_index,module,rrt_ms,pre_n,post_n,post_regressions,pre_rate,post_rate,delta
P1,with,1,font-size,1559,12,8,2,0.25,0.25,0.0
P1,with,2,line-width,890,20,6,1,0.25,0.16666666666666666,-0.08333333333333334
P1,with,3,line-height,361,10,10,2,0.3,0.2,-0.09999999999999998
P1,with,4,palette,580,18,20,2,0.16666666666666666,0.1,-0.06666666666666665
P1,with,5,font-size,102,28,12,4,0.32142857142857145,0.3333333333333333,0.011904761904761862
P2,with,1,line-width,435,8,6,2,0.5,0.3333333333333333,-0.16666666666666669
P2,with,2,font-size,94,6,4,1,0.5,0.25,-0.25
P2,with,3,line-width,4,16,16,4,0.25,0.25,0.0
P2,with,4,font-size,763,21,12,2,0.3333333333333333,0.16666666666666666,-0.16666666666666666
P2,with,5,line-height,753,6,4,0,0.16666666666666666,0,-0.16666666666666666
P2,with,6,font-size,2791,13,5,3,0.23076923076923078,0.6,0.3692307692307692
P2,with,7,font-size,735,6,4,0,0.3333333333333333,0,-0.3333333333333333
P3,with,1,font-size,770,14,10,2,0.35714285714285715,0.2,-0.15714285714285714
P3,with,2,line-width,347,20,6,1,0.25,0.16666666666666666,-0.08333333333333334
P3,with,3,line-width,482,8,12,4,0.125,0.3333333333333333,0.20833333333333331
P4,with,1,font-size,142,31,26,8,0.03225806451612903,0.3076923076923077,0.2754342431761787
P4,with,2,line-width,376,20,12,2,0.35,0.16666666666666666,-0.18333333333333332
P4,with,3,font-size,1524,9,10,3,0.5555555555555556,0.3,-0.2555555555555556
P4,with,4,line-width,19,17,10,2,0.29411764705882354,0.2,-0.09411764705882353
P1,without,1,font-size,2190,7,11,7,0.14285714285714285,0.6363636363636364,0.4935064935064935
P1,without,2,line-width,439,14,12,6,0.35714285714285715,0.5,0.14285714285714285
P1,without,3,font-size,1115,11,6,2,0.45454545454545453,0.3333333333333333,-0.12121212121212122
P1,without,4,line-width,613,7,6,3,0.5714285714285714,0.5,-0.0714285714285714
P1,without,5,line-height,263,6,8,1,0.5,0.125,-0.375
P1,without,6,palette,107,24,27,7,0.3333333333333333,0.25925925925925924,-0.07407407407407407
P1,without,7,font-size,147,20,20,4,0.25,0.2,-0.04999999999999999
P1,without,8,line-height,650,10,4,2,0.5,0.5,0.0
P1,without,9,palette,2531,3,6,4,0.6666666666666666,0.6666666666666666,0.0
P2,without,1,font-size,1556,4,4,1,0,0.25,0.25
P2,without,2,line-width,2358,6,4,2,0.5,0.5,0.0
P2,without,3,font-size,796,8,9,3,0.375,0.3333333333333333,-0.041666666666666685
P2,without,4,line-height,801,5,9,2,0.4,0.2222222222222222,-0.1777777777777778
P3,without,1,font-size,28,18,14,2,0.3333333333333333,0.14285714285714285,-0.19047619047619047
P3,without,2,line-width,,8,0,0,0.375,,
P3,without,3,line-width,1040,0,7,1,,0.14285714285714285,
P3,without,4,line-height,3301,8,4,2,0.25,0.5,0.25
P3,without,5,font-size,1803,9,10,3,0.1111111111111111,0.3,0.18888888888888888
P3,without,6,line-height,437,14,6,0,0.5714285714285714,0,-0.5714285714285714
P3,without,7,font-size,92,14,8,1,0.14285714285714285,0.125,-0.01785714285714285
P3,without,8,font-size,228,30,27,15,0.2,0.5555555555555556,0.35555555555555557
P3,without,9,font-family,263,4,7,2,0.25,0.2857142857142857,0.0357142857142857
P3,without,10,letter-spacing,850,9,8,3,0.2222222222222222,0.375,0.1527777777777778
P3,without,11,font-size,1,25,14,0,0.4,0,-0.4
P4,without,1,font-size,72,7,15,4,0,0.26666666666666666,0.26666666666666666
P4,without,2,line-width,1390,12,15,8,0.08333333333333333,0.5333333333333333,0.45
